SIGNET_SOURCE	SIGNET_DEST
PRKCA	CASR CAVIN2 DEXI DSP GABPB1 GJA1 HABP4 HAND1 ID2 IGFBP3 KCNE1 MAPKAP1 MAPT NXF1 PAM PLEC PRKCZ RAF1 SCRIB SELL SHC1 TERT TMEM176B VARS2
PRKCD	CD34 CREBBP DHX16 FLI1 HABP4 KCNJ1 MAPT MCM7 MEP1B MTCH1 MUC1 NHLRC2 PPRC1 PRKCZ PTGES3 RAF1 RMC1 SCRIB SERPINE1 SHC1 TKT VPS29
PRKCZ	AKT2 CASP7 CASP8 CAVIN2 CLTC CREBBP EEF1G FAT1 FEZ2 HABP4 KCNAB2 MAPT MRPL55 NCL NSRP1 PPP1CC PRKCA PRKCD RAF1 STK38 TUBA4A TUBB
PROCR	ABCB8 CAV1 SHC1
PRR11	GPATCH4 LARP1 RPL26L1 ZNF512 ZNF800
PRSS16	CCNL1 PRKAG2
PRX	AHNAK NYAP1 SCN10A SMC3
PSMA5	CCT3 EED EXOSC4 MEPCE MFN2 NHLRC2 NPC1 PPTC7 PSMC6
PSMC6	ABCF1 EIF2S2 FBXO6 MEPCE MFN2 MTCH1 NACA NFKB2 PSMA5 RPS8 SLC4A1AP SNW1 ZFAND2B
PTGES3	ABCC1 CASP7 CAV3 CCNL1 EED EIF2AK2 FBXO24 MAPT NR3C2 PRKCD SLC6A4 TCF7L2 TERT TKT TRIM56
PTHLH	MTDH
PTPN23	CHMP4B CLTC KIF20A SH3GL2 USP8
PTPRN	CAND2 GANAB LTN1 MICAL2 NOS1AP PLA2G7 PLOD1 SNTA1 SPTBN4 TRDN XPO4 XPOT
PUF60	ABCC1 AKAP9 CCNL1 CDKN1A CHMP4B EED GBF1 GPN1 GUK1 HNRNPC ID3 IGF2BP2 INS KIF20A MAPT MEPCE MPV17 NCL OBSL1 PAM PPM1G SLC6A4 SNW1 TH TTN VPS29
PVRIG	CLSTN1 LIG3
PYGO2	CREBBP NXF1 TRIP6
RAB29	ST7
RAB3IL1	EED IP6K1
RAD51D	CCNL1 ICMT NXF1 PRDM14 SPTBN4 TOMM22
RAF1	ABCF2 CALM1 CASP8 CBLC CCT3 CDKN2C CFLAR CNKSR1 GLIS2 GNB2 HIPK4 KIF20A LATS2 MET NPHP4 NXF1 PCDH7 PPP1CC PRKCA PRKCD PRKCZ RBBP8 RCAN1 SHOC2 TERT TUBA4A TUBB
RAI1	CDKN1A MAD2L2 RNF123
RALY	EED HNRNPC HNRNPR HNRNPUL2 KIF20A L1TD1 MAPT MTDH NHLRC2 NXF1 OBSL1 SKA2 SNW1 ZBTB7B
RASSF3	LITAF MST1 RPRD1B STRN
RBBP8	DMC1 LMO4 RAF1
RBM20	NXF1 RYR2
RBM6	EEF1G MITF NXF1 PLEC
RBMS2	IGF2BP2 NXF1 SRSF3 ZBTB7B
RCAN1	RAF1
RCOR1	BCL3 GIT2 SFMBT1 SNW1 SOCS6 STN1
RDH14	INS
RDH16	RNF123
REEP2	CAV3 CMTM5 ST7 TCTN3
RELB	ACTL6A BCL3 CALM1 CALM2 CALM3 CLTC DSP KPNA1 NFKB2 RPL30 TUBB ZHX2
REP15	GNG11
RER1	CHRNA1 NPC1 PMP22 TCTN3 TOMM22 WIPF1
RFFL	CASP8 KCNH2 SHC1 USP13
RFT1	MUC1 TCTN3 TMEM179B
RGP1	BET1 CCNL1 NXF1
RHEX	NOS1AP PBX3 SNX17
RIOK1	ABCF1 ACTR1A C1orf35 CCT3 CLTC DDX17 EIF2B4 EIF2S2 ELK4 FBXO6 HNRNPR HNRNPUL2 METTL18 NCL NGDN RPL22 RPL26L1 RPL30 RPL32 RPS8 RSL1D1 SLC50A1 SMC3 SNW1 SRSF3 TRIM56 TRIP13 TUBA4A XPOT
RIOK3	CALM1 CALM2 CALM3 CASP10 CCT3 TBK1
RMC1	AGFG1 APEH ATG9A ATP2A2 LARP1 MON1A PRKCD SCRIB SLC3A2 TLE3 TUBA4A
RNASE3	RNF123
RNASE7	CCDC88C
RNF11	ACVR2A ANKRD13A ASIC4 CSTA EED EPS15 GNB2 GTF2H4 LTN1 NHLRC2 SNW1 SPAG8 TBK1 TOM1L2 TSC22D4 UBAC2 UBXN1 ZDHHC20 ZNF296
RNF123	AHNAK ALDH18A1 BAZ2B BCL3 C1orf35 CCT3 CHD5 CHMP4B CHN1 CLTC CNOT1 DSP EEF1AKMT1 EEF1G HNRNPR LARP1 LIG3 MEGF6 MST1 MTDH NCL NXF1 OBSCN PPFIA2 PPP1R3E RAI1 RDH16 RNASE3 SCAP SCRIB SLC26A9 SLFN5 SPATC1 SRSF3 TAF6L TBC1D30 TBK1 TEKT5 TLN1
RNF187	NXF1
RNF207	KCNH2
RNF220	EMSY WDR5B
RPGRIP1	CEP85 METTL25 NPHP4
RPL22	CALM1 CCNL1 CD81 CHMP4B EED FGFR1 INS KIF20A L1TD1 MAPT MEPCE NCL PPP1CC RIOK1 RPL26L1 RPL30 RPL32 RPS8 SNW1 TOP1
RPL26L1	CCDC59 CCNL1 GPATCH4 KIF20A MAPT MEPCE MRPL47 NCL OBSL1 PRR11 RIOK1 RPL22 RPL30 RPL32 RPS8 ZNF512
RPL30	CACNA1C CAV3 CCNL1 CEBPZ EED EEF1G GPATCH4 INS LTN1 MAPT MATN2 MEPCE NFKB2 NLE1 NMNAT1 NSD3 PPP1CC RELB RIOK1 RPL22 RPL26L1 RPL32 RPS8 SKI ZNF184 ZNF512 ZNF593
RPL32	CCNL1 CDH2 DUSP5 EED EEF1G FBXO6 GPATCH4 INS KIF20A L1TD1 MAPT MEPCE PPP1CC RIOK1 RPL22 RPL26L1 RPL30 RPS8 TKT ZNF512
RPRD1B	ACTL6A GPN1 GPN3 NIF3L1 POLR2G PPP1CC RASSF3 SCRIB
RPS8	CACNA1C CALM1 CAV3 CCNL1 CD81 CHMP4B EED GPATCH11 GPATCH4 INS KIF20A L1TD1 LARP1 MAPT MEPCE MRPL47 MRPS35 NCL NFKB2 NGDN OBSL1 PPP1CC PSMC6 RIOK1 RPL22 RPL26L1 RPL30 RPL32 TBK1
RSL1D1	ASF1A CHMP4B EED KIF20A MEPCE NCL NLE1 NOLC1 NXF1 OBSL1 PPP1CC RIOK1 TTN
RUSC1	FAM83H PRDM14 SPAG8 TCHP TRAPPC6A TRIM63 TRIM74 UFSP1
RWDD2B	MYH11 PDLIM5
RYR2	ARF1 CACNA1C CALM1 CALM2 CALM3 CAMK2D CAV3 CCT3 EEF1G GJA1 PLEC PPP1CC RBM20 SNTA1 SPEG SPTBN4 VARS2
SAP30L	FEZ2
SBF2	PPM1G SORT1
SCAMP3	BET1 CD81 CLSTN1 FBXO6 GBA NPC1 SLIRP SOCS6
SCAP	MET NXF1 PLCG1 RNF123 SREBF1 ZHX3
SCN10A	CACNA1D CALM1 CALM2 CALM3 GJA1 PRX SCN5A TRIP6
SCN1B	KCND3 SCN4B
SCN3B	ABCB8 BNIP1 FGFR1 GIMAP1 GIMAP5 GPR61 MTCH1 PEX10 PMP22 SLC30A3 SLC38A7
SCN4B	SCN1B
SCN5A	CACNA1C CACNA1D CALM1 CALM2 CALM3 CAMK2D CAV3 GPD1L KCNJ2 SCN10A SNTA1
SCRIB	ARHGEF16 CHMP4B CRHR1 FAM189B HEATR5B KCNJ2 LRIG1 MARK4 MET MST1 NXF1 OBSL1 PAM PPP1CC PRKCA PRKCD RMC1 RNF123 RPRD1B SLC4A4 SLX4 SNTA1 TANC1 TMIGD1 TRIP6
SDR9C7	NPPA
SELE	PLCG1 SELL TRIM54
SELL	PRKCA SELE SLC30A2
SELP	APOE OBSL1 SNX17
SENP2	AGTRAP APOC2 APOC4 APOE KPNA1 MDC1 ST7 STK38 TRIM63 TUBB USP25
SERPINE1	GANAB PRKCD
SERTAD1	CINP CKS1B CREBBP FAAP20 HIVEP1 KLHL42 SUPT7L TGM2
SERTAD3	CREBBP FAAP20 FBXO44 KLHL42 NPPB TRAPPC6A
SESTD1	STMN1 ZNF830
SETD6	PPFIA2
SFMBT1	RCOR1
SGIP1	ADAM15 EPS15 MAPT SLC6A4
SGO2	CASQ2 GNB2 KIF2C SPATS2L
SH2D1B	MET PLCG1 TRIM54
SH3GL2	ADAM15 CALM1 CHRM2 PTPN23 ZNF219
SH3PXD2A	ADAM15 CBY1 CDC25C FAM53C GIGYF1 LARP1 LPIN3 MAPKAP1 PHLDB2 SIPA1L1
SHARPIN	MAP3K7 MKRN2 PPIL3 SKI TRIP13
SHC1	BCL3 CBLC CD81 CDC25C CHMP4B CLTC DDR1 DDR2 FGFR1 GAREM1 GBF1 GEMIN7 HNRNPC KIF20A MET MST1R MYH11 NXF1 PLCG1 PRKCA PRKCD PROCR RFFL TKT TUBA4A TUBA4B TUBB VARS2
SHKBP1	COPS6 CPEB4 GLTP UBXN1
SHOC2	GOT2 PPP1CC RAF1 SNW1
SIPA1L1	CBY1 CDC25C EED FAM53C GIGYF1 LARP1 LATS2 LPIN3 MAPKAP1 MCM7 PHLDB2 SH3PXD2A SLC6A4
SKA2	RALY
SKI	AHNAK AKT2 ATP2A2 ATP5F1B CCT3 EPPK1 LATS2 NCL PLEC RPL30 SHARPIN SNW1 STK38 TUBA4A TUBB
SLC12A7	CD81 CTDSPL GPR61
SLC12A9	NPC1
SLC19A2	ATP5F1B CD81
SLC22A17	CCNL1 CREB3
SLC26A9	RNF123
SLC30A2	CREB3 FDPS LYVE1 NRM SELL SLC30A3 SLC38A7 SLC39A2 SLC7A8
SLC30A3	SCN3B SLC30A2
SLC35F1	ATP5F1B
SLC38A7	ACTL6B AMIGO1 FKBP7 LYVE1 MUC1 SCN3B SLC30A2 SYPL2
SLC39A2	BCL2L2 C3orf52 KCNAB2 NRM PLN SLC30A2
SLC3A2	ATP2A2 BET1 CA9 CCNL1 CD81 CTDSPL MAD2L2 MAPT NPC1 RMC1 SLC7A8 SRSF3
SLC41A1	AMIGO1 GPR61 SYPL2
SLC4A1AP	MDC1 PSMC6 TPM2
SLC4A2	NXF1
SLC4A4	ATP2A2 MAPT SCRIB
SLC50A1	CNOT1 CREB3 RIOK1
SLC6A4	ADCK1 AGAP3 AMPD3 ARPC3 CAPZA2 CDH2 CDK18 DAGLA DDR1 DNAJA3 EPS15 EXOG FLOT1 IQSEC1 KCNAB2 LARP1 LRCH1 MARK4 MTCH1 MTFR1L PAM PBXIP1 PNPLA8 PTGES3 PUF60 SGIP1 SIPA1L1 SNTA1 SORBS1 SRSF3 TGM2 TRIM46
SLC7A8	MFF SLC30A2 SLC3A2
SLC8A1	ANK2 ATP2A2 CACNA2D1 CAV3 CLSTN1 DNAJA3 GJA1 PDE3A
SLFN5	CLK1 OXSR1 RNF123
SLIRP	ARHGEF40 CDC25C HINT2 HNRNPR IBA57 INS METTL17 MRPL47 MRPL55 MRPS18B MRPS35 MTA2 PAM16 SCAMP3 VARS2
SLIT2	EXOSC4
SLK	CLSTN1 GBF1 HGH1
SLX4	GPATCH4 GPN3 KPNA1 MDC1 MEPCE MKLN1 MYH11 POLR2G PPM1G SCRIB VARS2
SMARCAD1	ACTL6A ANAPC7 CDC23 DDX17 EED EIF2B4 GTF3C2 HNRNPR MTA2 SMC3 SNW1
SMC3	AKAP9 AZGP1 BET1 CAMK2D CCNL1 CHMP4B COPS6 EED FBXO6 FEZ2 GPATCH2 INS MAD2L2 MEPCE MYH11 NCL NDE1 OBSL1 PLEC PRX RIOK1 SMARCAD1 SNW1 STAG3 TUBB USP13
SMG5	CEP85 CPEB4 DCP1A IGF2BP2 MKRN2 NXF1 TERT ZC3H7A
SMG8	MKRN2 THBS3 TKT TSC22D4 ZC3H7A
SNN	MTDH
SNTA1	CALM1 CAV1 CAV3 CLTC FAM189B GLS2 KCNJ2 MCM7 NACA NDRG2 OBSCN PLEC PTPRN RYR2 SCN5A SCRIB SLC6A4 SOD2 SORBS1
SNW1	ABCF1 ABCF2 ACTL6A ACTR1A AHNAK BRD8 BZW1 CCT3 CDC23 CLSTN1 CNOT1 COPS6 DDX17 DHX16 DSP EEF1G EIF2B4 EIF2S2 EPPK1 FEN1 GABPB1 GTF3C2 HNRNPC HNRNPR KIF2C KPNA1 MCM7 MTA2 NCL NOLC1 NXF1 OBSL1 ORC2 OXSR1 PABPN1 PARVA PLEC PPIL1 PPIL3 PPP1CC PSMC6 PUF60 RALY RCOR1 RIOK1 RNF11 RPL22 SHOC2 SKI SMARCAD1 SMC3 SRSF3 TBX5 TLN1 TOP1 TRAP1 TRIM63 TRIP13 TSSC4 TUBA4A TUBB VARS2 ZNF830
SNX17	NXF1 PLCG1 RHEX SELP
SOCS6	CDC23 DNAJA3 FAM83H MET PDLIM5 PLCG1 PLEC RCOR1 SCAMP3
SOD2	ABHD10 CAV3 GJA1 MAPT MST1 SNTA1 SPRYD4 TKT
SOHLH2	MAPT
SORBS1	ADAM15 CASP8 CAV3 FLOT1 LATS2 PAM PDLIM5 PILRA SLC6A4 SNTA1
SORT1	ANO3 BLMH CDRT4 MED13L MRPL55 MYH6 NDUFB5 PARP9 SBF2 SSR1 TLN1 TUBB TXNDC11 UAP1 VPS29
SP3	CREBBP CSNK2A2 E2F1 PPP1CC TFAP4 ZBTB7B
SPAG8	BSCL2 CDC23 GIGYF1 KDM3B NSD3 RNF11 RUSC1 TEKT3 TEKT5
SPART	CLTC EPS15 GBF1 NCL NME7
SPATA17	CALM1 CALM2 CALM3
SPATC1	RNF123
SPATS2L	CCNL1 FGFR1 OBSL1 SGO2
SPEG	CACNA1C RYR2
SPRYD4	ATP5F1B GOT2 KIF20A SOD2
SPTBN4	CHMP4B CLK1 KIF20A MAPT NHLRC2 PTPRN RAD51D RYR2
SREBF1	CREBBP ID2 ID3 SCAP
SRL	CAV3
SRRT	ARHGEF40 CACNA1C CLK2 EED FAM162A OBSL1 PPP1CC
SRSF3	CCNL1 CD81 CHMP4B CLK1 CLK2 DDX17 EED INS KIF20A L1TD1 MAPT MEPCE METTL17 NCL NHLRC2 NXF1 OBSL1 PPP1CC RBMS2 RIOK1 RNF123 SLC3A2 SLC6A4 SNW1 STYX VASN
SSH2	CAPZA2 KIF20A PAM
SSR1	ATP6V1C1 CA9 CYC1 FBXO6 LTN1 MDC1 NPC1 NPHP4 SORT1 ST7 TCTN3
ST7	ADCY9 ARL6IP5 ASIC4 ATF6 BNIP1 CPD FAM189B GOSR2 MTDH PBXIP1 RAB29 REEP2 SENP2 SSR1 STX5 SUCO SUN2 TRPM7 VANGL1
STAG3	CHMP4B KIF20A SMC3
STC2	ARHGEF40
STK11IP	NPC1 VASN
STK16	CSKMT DNAJA3 MIIP NIF3L1 TRIP6
STK38	CALM1 CAV1 EED FBXO6 GBF1 ID2 KCNJ2 MAPKAP1 MEPCE MYD88 PRKCZ SENP2 SKI ZBTB7B
STMN1	AHNAK MAPT PPM1G SESTD1 TPM2 UHMK1
STN1	ORC2 PRIM1 RCOR1 TCHP TFAP4
STRN	AHNAK CALM1 CAV1 CCT3 CCT6B MST1 PRDM14 RASSF3
STX5	BET1 BNIP1 COPS6 DKK3 GOSR2 ST7
STYX	BLVRB CAPZA2 CCNL1 KPNA1 SRSF3
SUCO	ISG20L2 ST7
SUFU	CDC25C CEBPZ ZNF219
SUN2	CA9 CAV3 CFLAR EED NHLRC2 NRM ST7 TCTN3 TTN
SUPT7L	MAD2L2 SERTAD1 TAF6L
SYPL2	NECTIN2 SLC38A7 SLC41A1
TAF13	TAF6
TAF6	CASP10 CIITA TAF13 TBX5
TAF6L	CREBBP INS MAD2L2 RNF123 SUPT7L
TAFA4	NRXN3 PLXNA2 TCTN1
TAGLN3	PAM TKT UBXN1
TANC1	EED GBF1 NXF1 SCRIB
TBC1D30	HOMEZ RNF123
TBK1	ATG9A CALM1 CALM2 CALM3 CAMK2D CASP8 CCNL1 CCT3 DCP1A EED LATS2 MARF1 MYD88 NCOA2 NFKB2 NHLRC2 PBXIP1 RIOK3 RNF11 RNF123 RPS8 TRAIP TUBB
TBX20	TLE3 XCL1
TBX3	ATP5F1B CALM1 DCP1A UFSP1 ZBTB7B
TBX5	ACTL6A MET MTDH NCL NKX2-5 SNW1 TAF6 TOP1 ZNF512
TCF7L2	CEBPZ CLTC CREBBP CSNK2A2 CTNNBIP1 LIG3 MAD2L2 MDC1 MRPS35 MTA2 PTGES3 TLE3 UFSP1 ZBTB7B
TCHP	ATPAF2 CPEB4 ID2 LATS2 MFN2 MIIP NME7 RUSC1 STN1 TRIM54
TCTN1	ERO1A GANAB GNB2 PLOD1 TAFA4 TCTN3
TCTN3	ARL6IP5 ATP2A2 BET1 CSTA ERO1A FADS2 FBXO6 GANAB GOSR2 GPAA1 KRTCAP2 NXF1 PLOD1 REEP2 RER1 RFT1 SSR1 SUN2 TCTN1 TM9SF2 TMEM41A TP53I11 TRPM7 VANGL1
TEKT3	SPAG8
TEKT5	CSKMT NHLRC2 RNF123 SPAG8
TENM2	CD81
TERT	ATP5F1B CBLC GLIS2 MET NCL NSD3 PRKCA PTGES3 RAF1 SMG5 TRPM7
TEX44	APOC1
TFAP4	CASP10 GNB4 MAD2L2 MDC1 SP3 STN1 ZBTB7B ZHX3
TFPI	PITX3
TFR2	CD81 FBXO6 MAD2L2
TGM2	CALM1 CAV3 CCNL1 CSNK2A2 CYC1 FBXO6 PCOLCE PLCD1 PMP22 SERTAD1 SLC6A4 TMEM176A TUBB ZBTB7B
TH	CREBBP FGFR1 KDM3B MAP3K7 PUF60
THAP12	ASB10 EIF2AK2 MST1
THBS3	CORO7 DNAJA3 MAP3K7 MCM9 SMG8 TUBA4A
TKT	CAV3 CCNL1 CD81 CDH2 ESD FBXO6 FKBP7 KCNQ1 MAPT NHLRC2 PITPNB PLEC PRKCD PTGES3 RPL32 SHC1 SMG8 SOD2 TAGLN3 TUBA4A
TLE3	CREBBP MYH7 PPM1G RMC1 TBX20 TCF7L2 TTN
TLN1	CAV3 CCNL1 CDK5 DDR1 DSP EED GBF1 KANK4 KCNQ1 MTNR1A NHLRC2 NRAP NXF1 OBSL1 RNF123 SNW1 SORT1 TRIP6 ZC3H7A
TM4SF20	MEP1B
TM9SF2	DPM3 TCTN3
TMEM176A	HIVEP1 LITAF TGM2 TMEM176B
TMEM176B	PRKCA TMEM176A
TMEM179B	BCL2L2 C3orf52 FAM189B HNRNPR PLN RFT1
TMEM223	C3orf52 EEF1G MTHFR TRDN
TMEM41A	TCTN3
TMEM79	AMIGO1 GIMAP1 PLN
TMEM8B	CHRM2
TMF1	BET1 CEBPZ CMTM5 FER
TMIGD1	PLEC SCRIB
TMPRSS7	HABP2
TNFRSF8	TRAIP
TNS3	DNPEP GANAB INS MET NXF1
TOM1L2	CLTC PDLIM5 RNF11
TOMM22	ADCK1 ATP5F1B CCT3 CLTC CYC1 EED EIF2S2 HNRNPC HNRNPR INTS5 MFF MFN1 MPV17 MRPL47 MRPS35 MTCH1 MTX1 NECTIN2 PAM16 PLOD1 RAD51D RER1 TOMM40 TUBA4A
TOMM40	ABCB6 ADCK1 ATP1B1 ATP5F1B CYC1 FARS2 GANAB HNRNPC KIF20A MAD2L2 MRPL55 MTCH1 MTX1 NCL NOS1AP PLOD1 TOMM22 UBAC2
TOP1	CHMP4B CSNK2A2 DDX17 EED EIF2AK2 HNRNPC HNRNPR INS KIF20A MDC1 MEPCE MTDH NCL OBSL1 RPL22 SNW1 TBX5 TRAIP ZBTB7B
TP53I11	TCTN3
TPGS2	LTN1 NXF1
TPM2	AKAP9 AKT2 CAPZA2 FAM189B FARS2 KANSL1 KIF20A MYH6 MYH7 PDLIM5 SLC4A1AP STMN1
TRAIP	CCNL1 FEN1 MAP3K7 MCM7 NCL PLCG1 TBK1 TNFRSF8 TOP1
TRAP1	CAV3 CDK5 CHMP4B EEF1G FBXO6 MAPT NPHP4 NXF1 OBSL1 SNW1
TRAPPC6A	CAVIN2 EFS GINS3 KANK4 RUSC1 SERTAD3
TRDN	BET1 CALM1 CASQ2 EXOG GOSR2 NRAP PMP22 PTPRN TMEM223
TRIM11	KANK4 KDM3B
TRIM4	CHMP4B KIF20A
TRIM46	CBLC SLC6A4
TRIM54	AGFG1 BSCL2 C1orf35 CALM3 CAVIN2 CDK18 CDKN1A DNAL4 FARS2 JOSD1 KIF20A KIF9 KLHL42 LMO4 MAD2L2 MCM7 MICAL2 PPP1R18 SELE SH2D1B TCHP TRIM63 TTC9C USP8
TRIM56	CPEB4 EPS15 IGF2BP2 MARF1 MKRN2 OBSL1 PTGES3 RIOK1 ZBTB7B ZC3H7A
TRIM63	ATP5F1B BCAT1 C1orf35 CADPS CHRNA1 DES DMC1 EED EEF1G GABPB1 INKA1 JOSD1 MCM7 MIIP MYBPHL MYH6 NRAP NSD3 RUSC1 SENP2 SNW1 TRIM54 TSC22D4 TTN UBA3 USP13 USP8 ZNF436
TRIM74	CNOT1 GNG3 RUSC1
TRIP13	ADAM15 BET1 DCP1A DDR1 FBXO6 KIF20A MAD2L2 MBLAC1 MDC1 MEPCE MPPED2 NIF3L1 RIOK1 SHARPIN SNW1
TRIP6	CBLC FARS2 MARF1 METTL17 MIIP MYD88 POM121 PYGO2 SCN10A SCRIB STK16 TLN1 UBE4B VASN
TRPC4AP	COPS6 MTDH MYH7B NOS1AP
TRPM7	BZW1 CA9 CCT3 DDX17 DSP EED PLCG1 ST7 TCTN3 TERT TTC28 TTN TUBA4A TUBB
TRPV4	CALM1
TSC22D4	BLZF1 CDC23 IFT172 LBP MYLIP NIF3L1 NRBP1 NRBP2 RNF11 SMG8 TRIM63
TSPAN18	GIMAP5
TSSC4	C1orf112 KPNA1 MTA2 SNW1
TTC28	GBF1 TRPM7
TTC9B	PLCG1
TTC9C	PPM1G TRIM54 UBE4B
TTI1	FBXO6
TTN	ATP5F1B CALM1 CALM2 CALM3 CAV3 CCNL1 DYSF EED KCNH2 MEPCE NPHP4 OBSCN OBSL1 PAM PUF60 RSL1D1 SUN2 TLE3 TRIM63 TRPM7 ZBTB7B
TUBA4A	CAV3 CCNL1 CD81 COPS6 E2F1 FGFR1 GJA1 GLMP INS LIPH MAD2L2 MAPT MARK4 MEPCE MST1 NPHP4 NXF1 OBSL1 PRKCZ RAF1 RIOK1 RMC1 SHC1 SKI SNW1 THBS3 TKT TOMM22 TRPM7 TUBA4B TUBB VASN ZBTB7B
TUBA4B	CCNL1 SHC1 TUBA4A TUBB
TUBB	ATP5F1B CCNL1 CD81 CDKN1A CMTM5 COPS6 EED EEF1G EPS15 FBXO6 GJA1 ID2 L1TD1 MAP3K10 MAP3K7 MAPT MARK4 MEPCE MICU2 MST1 MTNR1A MYD88 NCL NFKB2 NPHP4 PPP1CC PRKCZ RAF1 RELB SENP2 SHC1 SKI SMC3 SNW1 SORT1 TBK1 TGM2 TRPM7 TUBA4A TUBA4B UBAC2
TUT1	FBXO6 MEPCE
TXNDC11	ACAA1 CDKN1A CREBBP EDEM2 FBXO6 NOS3 NXF1 SORT1
UAP1	SORT1
UBA3	APOE TRIM63
UBAC2	ANK2 ATP6V1C1 CLPTM1 NPC1 RNF11 TOMM40 TUBB
UBE4B	CASP7 EED PDE3A TRIP6 TTC9C UBXN1 VPS29
UBXN1	ACOT7 CCNL1 CD81 E2F1 INS NXF1 RNF11 SHKBP1 TAGLN3 UBE4B
UCN	CRHR1
UFSP1	RUSC1 TBX3 TCF7L2
UHMK1	EDEM2 PAM STMN1
UNC45B	CAV3 EED KCNQ1
USP13	CAMK2D MDC1 RFFL SMC3 TRIM63
USP16	CALM1
USP25	SENP2
USP50	GNB2
USP8	ATP5F1B BET1 CBY1 CFLAR CHMP4B EPS15 GJA1 LRIG1 PTPN23 TRIM54 TRIM63
VANGL1	BET1 CA9 CREB3 JPH4 ST7 TCTN3
VARS2	AHNAK CAMK2D CCT3 CDC25C CMTM5 DSP EED EEF1G FBXO6 GBF1 HINT2 MAPT METTL17 MTNR1A PRKCA RYR2 SHC1 SLIRP SLX4 SNW1
VASN	CD81 FBXO2 LTN1 SRSF3 STK11IP TRIP6 TUBA4A XPO4
VILL	EED LITAF MAPT ZBTB7B
VOPP1	HGH1
VPS29	ATG9A ATP6V1C1 BLMH EED GJA1 INS MCM7 PPM1G PRKCD PUF60 SORT1 UBE4B
WDR5B	CCT3 CCT6B RNF220
WDR74	CEBPZ NLE1 ZNF593
WIPF1	FASTK NHLRC2 RER1
XCL1	MEIS1 MITF TBX20
XPO4	EED NXF1 PTPRN VASN
XPOT	AKT2 BET1 CA9 CDC14B DPF3 EED FBXO6 GMPPB PTPRN RIOK1
ZBTB7B	ABCF1 ACTL6A AKAP9 CEBPZ CSNK2A2 DDX17 EIF2S2 GFRA3 HNRNPR LARP1 LIG3 MTA2 MTDH NCL PHLDB2 PPP1CC RALY RBMS2 SP3 STK38 TBX3 TCF7L2 TFAP4 TGM2 TOP1 TRIM56 TTN TUBA4A VILL
ZC3H7A	ALDH18A1 ARF1 ATP2A2 CCT3 CEP85 CNOT1 CPEB4 GIGYF1 IGF2BP2 MARF1 MCM7 MKRN2 PDLIM5 SMG5 SMG8 TLN1 TRIM56
ZDHHC11	ANKRD13A CREB3 FGFR1
ZDHHC20	NPC1 RNF11
ZFAND2B	ATG9A PSMC6
ZFHX2	MAPT PMP22
ZHX2	DHRS2 NFKB2 RELB ZHX3
ZHX3	SCAP TFAP4 ZHX2
ZNF184	RPL30
ZNF219	CHD5 CSNK2A2 MTA2 SH3GL2 SUFU
ZNF296	RNF11
ZNF3	ID3
ZNF391	AGTRAP CMTM5
ZNF436	CLK2 KIF9 TRIM63
ZNF512	BET1 CDC14B CEBPZ GPATCH4 NGDN NMNAT1 PRR11 RPL26L1 RPL30 RPL32 TBX5 ZNF593
ZNF513	NKD2 ZSCAN21
ZNF593	LDB1 MAP3K7 MEPCE MRPS35 NLE1 RPL30 WDR74 ZNF512
ZNF639	CREBBP ELP6
ZNF707	CASP8 MRPS35
ZNF780A	NXF1
ZNF800	GLIPR2 MTA2 PRR11
ZNF830	SESTD1 SNW1
ZSCAN21	CLK2 ZNF513
