SIGNET_SOURCE	SIGNET_DEST
CLPTM1	ASIC4 CPEB4 FGFR1 NPC1 UBAC2
CLSTN1	CCNL1 CPD PVRIG SCAMP3 SLC8A1 SLK SNW1
CLTC	APOE ARF1 CAPZA2 CAV1 CAV3 CCNL1 CCT3 CCT6B CHMP4B CYC1 DCP1A DNAJA3 EED EPS15 FAM83H FBXO6 GJA1 KCNQ1 KIDINS220 KIF20A L1TD1 MAD2L2 MAP3K10 MAP3K7 MAPT MARF1 MEPCE MFN2 MST1 NFKB2 NXF1 OBSL1 PPP1CC PRKCZ PTPN23 RELB RIOK1 RNF123 SHC1 SNTA1 SPART TCF7L2 TOM1L2 TOMM22
CMTM5	ALDH18A1 ARMC9 ASF1A CREB3 FARS2 FERMT2 GLTP MFF NDRG4 PBX3 REEP2 TMF1 TUBB VARS2 ZNF391
CNKSR1	MAP3K10 MST1 RAF1
CNOT1	ABCF1 CAPZA2 CEP85 CPEB4 DCP1A EED INTS5 MARF1 MKRN2 NOS3 RNF123 SLC50A1 SNW1 TRIM74 ZC3H7A
CNPY4	LRIG1
COL4A3	HABP2 MATN2
COL4A4	HABP2 MATN2 MTDH
COPS6	CASP7 CASP8 CCNA1 CDKN1A CDKN2C CKS1B EDN1 FBXL15 FBXO44 FBXO6 ID3 KCTD18 KLHL18 KLHL42 NCL PLCG1 POP7 PRIM1 SHKBP1 SMC3 SNW1 STX5 TRPC4AP TUBA4A TUBB
CORO7	EPS15 THBS3
CPD	BET1 CD81 CLSTN1 FBXO6 ST7
CPEB4	CEP85 CLPTM1 CNOT1 DCP1B GIGYF1 IGF2BP2 MARF1 MKRN2 NME7 SHKBP1 SMG5 TCHP TRIM56 ZC3H7A
CPNE5	MTA2 NPC1
CR1L	DDHD1
CRABP2	FLAD1
CREB3	BNIP1 C3orf52 CMTM5 CREBRF FDPS GJA1 HVCN1 KRTCAP2 PLN PMP22 SLC22A17 SLC30A2 SLC50A1 VANGL1 ZDHHC11
CREBBP	ANAPC7 BCL3 CDH2 CDKN1A CSNK2A2 DDX17 E2F1 EGR1 FGFR1 HLF KDM3B MAPT MARF1 MDC1 MEIS1 MITF MTDH NCOA2 NR3C2 PPARGC1A PPP1CC PRKCD PRKCZ PYGO2 SERTAD1 SERTAD3 SP3 SREBF1 TAF6L TCF7L2 TH TLE3 TXNDC11 ZNF639
CREBRF	CREB3
CRHR1	CALM1 CALM2 CALM3 SCRIB UCN
CRIM1	MTDH
CSKMT	STK16 TEKT5
CSNK2A2	CALM1 CASQ2 CAV1 CCDC59 CCNL1 CDC25C CREBBP DPF3 EMSY GPATCH2 HNRNPC JPH4 LPIN3 MAF1 MEPCE NCL NDE1 NOLC1 NXF1 SP3 TCF7L2 TGM2 TOP1 ZBTB7B ZNF219
CSTA	ASF1A BAZ2A CCNL1 CD81 DSP FGD2 KDM3B RNF11 TCTN3
CTDSPL	ABCC1 NECTIN2 PCDH7 SLC12A7 SLC3A2
CTNNBIP1	GOT2 TCF7L2
CTSE	GNB2 INS
CUEDC2	MAPT PAM
CYC1	APOE ATP1B1 ATP2A2 ATP5F1B CACNA1C CAV3 CLTC FBXO6 FLOT1 GOT2 INS MRPL47 MYH7B NDUFB3 NHLRC2 PPTC7 SSR1 TGM2 TOMM22 TOMM40
DAGLA	NXF1 SLC6A4
DBX1	APOC1
DCLRE1A	PPTC7
DCP1A	ALDH18A1 CBY1 CCDC59 CEP85 CLTC CNOT1 DCP1B DDX17 EIF2B4 GTPBP1 MARF1 PPP1R35 PPP1R37 SMG5 TBK1 TBX3 TRIP13
DCP1B	CBY1 CCNL1 CPEB4 DCP1A MARF1
