Entry	Status	Gene names
P27352	reviewed	CBLIF GIF IFMH
Q8WYA0	reviewed	IFT81 CDV1
Q92628	reviewed	KIAA0232
Q9BV36	reviewed	MLPH SLAC2A
Q96JB3	reviewed	HIC2 HRG22 KIAA1020 ZBTB30
Q5VVH5	reviewed	IRAK1BP1
Q9Y3D8	reviewed	AK6 CINAP AD-004 CGI-137
P09211	reviewed	GSTP1 FAEES3 GST3
A4D1E9	reviewed	GTPBP10 OBGH2 UG0751c10
Q8NDC0	reviewed	MAPK1IP1L C14orf32
Q8NB16	reviewed	MLKL
Q02846	reviewed	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1
A0A0A0MRZ9	reviewed	IGLV5-52
Q96PU9	reviewed	ODF3 SHIPPO1 TISP50
Q9Y5U9	reviewed	IER3IP1 HSPC039
P01705	reviewed	IGLV2-23
Q9Y573	reviewed	IPP KLHL27
Q6UWN0	reviewed	LYPD4 UNQ2552/PRO6181
Q6UWN5	reviewed	LYPD5 UNQ1908/PRO4356
Q9Y616	reviewed	IRAK3
Q9NVD7	reviewed	PARVA MXRA2
Q9GZP0	reviewed	PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345
Q9H720	reviewed	CWH43 PGAP2IP
Q7RTR2	reviewed	NLRC3 NOD3
Q15121	reviewed	PEA15
Q0GE19	reviewed	SLC10A7 C4orf13 P7 PSEC0051
O15375	reviewed	SLC16A5 MCT5 MCT6
O95255	reviewed	ABCC6 ARA MRP6
Q9NRJ1	reviewed	C8orf17
Q9NQ66	reviewed	PLCB1 KIAA0581
Q9NSI8	reviewed	SAMSN1 HACS1
Q9P270	reviewed	SLAIN2 KIAA1458
Q9P0V8	reviewed	SLAMF8 BLAME
Q16563	reviewed	SYPL1 SYPL
Q12888	reviewed	TP53BP1
Q9Y6J9	reviewed	TAF6L PAF65A
Q9NXL6	reviewed	SIDT1
Q15437	reviewed	SEC23B
Q8IY34	reviewed	SLC15A3 OCTP PHT2 PTR3
Q9NSA0	reviewed	SLC22A11 OAT4
A0AV02	reviewed	SLC12A8 CCC9
Q8TEV9	reviewed	SMCR8
Q9NY15	reviewed	STAB1 FEEL1 KIAA0246
A6NFE2	reviewed	SMCO2 C12orf70
P48775	reviewed	TDO2 TDO
P29084	reviewed	GTF2E2 TF2E2
Q96I99	reviewed	SUCLG2
Q6ZNK6	reviewed	TIFAB
Q9NYW3	reviewed	TAS2R7
Q9NUY8	reviewed	TBC1D23 NS4ATP1
Q9UBN4	reviewed	TRPC4
Q9UJT1	reviewed	TUBD1 TUBD
A7MCY6	reviewed	TBKBP1 KIAA0775 SINTBAD
O60907	reviewed	TBL1X TBL1
Q3YBR2	reviewed	TBRG1 NIAM
A6NFA1	reviewed	TRABD2B HKAT TIKI2
Q86V40	reviewed	TRABD2A C2orf89 TIKI1
O15178	reviewed	TBXT T
Q96B02	reviewed	UBE2W UBC16
Q5VVX9	reviewed	UBE2U
Q14139	reviewed	UBE4A KIAA0126
Q8NHY6	reviewed	ZFP28 KIAA1431
Q96EF9	reviewed	ZHX1-C8orf76 C8orf76
Q8TBZ3	reviewed	WDR20
O95789	reviewed	ZMYM6 Buster2 KIAA1353 ZNF258
Q9P0L1	reviewed	ZKSCAN7 ZNF167 ZNF448 ZNF64
Q9UJ78	reviewed	ZMYM5 ZNF198L1 ZNF237 HSPC050
Q15973	reviewed	ZNF124
Q8IWG1	reviewed	WDR63
P52746	reviewed	ZNF142 KIAA0236
Q86TI4	reviewed	WDR86
P35968	reviewed	KDR FLK1 VEGFR2
Q9UK12	reviewed	ZNF222
Q96BV0	reviewed	ZNF775
Q8TCV5	reviewed	WFDC5 PRG5 WAP1 UNQ3036/PRO9842
Q7Z4V0	reviewed	ZNF438
Q96JM2	reviewed	ZNF462 KIAA1803
Q17R98	reviewed	ZNF827
Q96EG3	reviewed	ZNF837
Q8TF50	reviewed	ZNF526 KIAA1951
Q8TAF7	reviewed	ZNF461 GIOT1
Q53HI1	reviewed	UNC50 UNCL HSD-23 HSD23
P15621	reviewed	ZNF44 GIOT2 KOX7 ZNF55 ZNF58
Q8N2I2	reviewed	ZNF619
Q8N9Z0	reviewed	ZNF610
Q9UI38	reviewed	PRSS50 CT20 TSP50
Q96MU7	reviewed	YTHDC1 KIAA1966 YT521
Q6PFW1	reviewed	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1
Q15649	reviewed	ZNHIT3 TRIP3
Q6NXR4	reviewed	TTI2 C8orf41
P40306	reviewed	PSMB10 LMP10 MECL1
P28065	reviewed	PSMB9 LMP2 PSMB6i RING12
Q9NRZ7	reviewed	AGPAT3 LPAAT3 UNQ759/PRO1490
Q8TF01	reviewed	PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306
P14923	reviewed	JUP CTNNG DP3
Q63HM9	reviewed	PLCXD3
Q9UBY0	reviewed	SLC9A2 NHE2
Q8TBY0	reviewed	RBM46
P54829	reviewed	PTPN5
Q8N300	reviewed	SVBP CCDC23
O15466	reviewed	ST8SIA5 SIAT8E
Q6PKC3	reviewed	TXNDC11 EFP1
P07101	reviewed	TH TYH
Q99592	reviewed	ZBTB18 RP58 TAZ1 ZNF238
Q9NVA1	reviewed	UQCC1 BZFB C20orf44 UQCC
Q9UKP6	reviewed	UTS2R GPR14
Q9Y2K1	reviewed	ZBTB1 KIAA0997
Q8NFD4	reviewed	
O95847	reviewed	SLC25A27 UCP4 UNQ772/PRO1566
Q5PR19	reviewed	
Q06418	reviewed	TYRO3 BYK DTK RSE SKY TIF
P22310	reviewed	UGT1A4 GNT1 UGT1
Q9HAW9	reviewed	UGT1A8 GNT1 UGT1
P06133	reviewed	UGT2B4 UGT2B11
Q9H0M4	reviewed	ZCWPW1
Q8TBF4	reviewed	ZCRB1
O94874	reviewed	UFL1 KIAA0776 MAXER NLBP RCAD
Q5TIE3	reviewed	VWA5B1
Q8N2E2	reviewed	VWDE
Q709C8	reviewed	VPS13C KIAA1421
Q86XT2	reviewed	VPS37D WBSCR24
O95670	reviewed	ATP6V1G2 ATP6G ATP6G2 NG38
Q8N1B4	reviewed	VPS52 SACM2L
Q86WI3	reviewed	NLRC5 NOD27 NOD4
Q58A44	reviewed	PCOTH C1QTNF9B-AS1
P0C869	reviewed	PLA2G4B
Q8WV22	reviewed	NSMCE1 HSPC333 HSPC337
Q8TE76	reviewed	MORC4 ZCW4 ZCWCC2
Q5VTT5	reviewed	MYOM3
O00712	reviewed	NFIB
O15438	reviewed	ABCC3 CMOAT2 MLP2 MRP3
O14787	reviewed	TNPO2
P45379	reviewed	TNNT2
Q9Y5U5	reviewed	TNFRSF18 AITR GITR UNQ319/PRO364
P12081	reviewed	HARS HRS
Q9H7N4	reviewed	SCAF1 SFRS19 SRA1
Q92956	reviewed	TNFRSF14 HVEA HVEM UNQ329/PRO509
Q8IWL1	reviewed	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B
Q6FHJ7	reviewed	SFRP4 FRPHE
Q9NPC8	reviewed	SIX2
Q8TCU3	reviewed	SLC7A13 AGT1 XAT2
Q96LD1	reviewed	SGCZ
Q92629	reviewed	SGCD
Q9NP91	reviewed	SLC6A20 SIT1 XT3 XTRP3
A0A1B0GWG4	reviewed	SERTM2
Q9Y265	reviewed	RUVBL1 INO80H NMP238 TIP49 TIP49A
Q96HU1	reviewed	SGSM3 MAP RABGAPLP RUTBC3
Q9BRG2	reviewed	SH2D3A NSP1 UNQ175/PRO201
Q9H7C4	reviewed	SYNC SYNC1
Q8NF91	reviewed	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1
Q99963	reviewed	SH3GL3 CNSA3 SH3D2C
Q96HL8	reviewed	SH3YL1
Q8NBJ7	reviewed	SUMF2 PSEC0171 UNQ1968/PRO4500
Q92547	reviewed	TOPBP1 KIAA0259
Q96KB5	reviewed	PBK TOPK
P29353	reviewed	SHC1 SHC SHCA
G2XKQ0	reviewed	SUMO1P1 SUMO5 UBL2 UBL6
Q70HW3	reviewed	SLC25A26 SAMC
Q6SPF0	reviewed	SAMD1
Q96A28	reviewed	SLAMF9 CD2F10 UNQ1938/PRO4421
Q8ND83	reviewed	SLAIN1 C13orf32
